S.No,MP Code,Member Name,Total Terms,Term Number,Term Period,State (Term),Party (Term),Reason/Vacation,Vacation Date
1,2465,Shri Ayodhya Rami Reddy Alla,1,1,22/06/2020-21/06/2026,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,,
2,2641,Shri Sana Sathish Babu,1,1,13/12/2024-21/06/2026,Andhra Pradesh,Telugu Desam Party,,
3,2586,Shri Golla Baburao,1,1,03/04/2024-02/04/2030,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,,
4,2527,Shri Masthan Rao Yadav Beedha,2,1,22/06/2022-21/06/2028,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Resignation,29/08/2024
4,2527,Shri Masthan Rao Yadav Beedha,2,2,13/12/2024-21/06/2028,Andhra Pradesh,Telugu Desam Party,,
5,2528,Shri Ryaga Krishnaiah,2,1,22/06/2022-21/06/2028,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Resignation,23/09/2024
5,2528,Shri Ryaga Krishnaiah,2,2,13/12/2024-21/06/2028,Andhra Pradesh,Bharatiya Janata Party,,
6,2081,Shri Parimal Nathwani,3,1,10/04/2008-09/04/2014,Jharkhand,Independent & Others,Retirement,
6,2081,Shri Parimal Nathwani,3,2,10/04/2014-09/04/2020,Jharkhand,Independent & Others,Retirement,
6,2081,Shri Parimal Nathwani,3,3,22/06/2020-21/06/2026,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,,
7,2466,Shri Subhas Chandra Bose Pilli,1,1,22/06/2020-21/06/2026,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,,
8,2587,Shri Meda Raghunadha Reddy,1,1,03/04/2024-02/04/2030,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,,
9,2526,Shri S Niranjan Reddy,1,1,22/06/2022-21/06/2028,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,,
10,2588,Shri Yerram Venkata Subba Reddy,1,1,03/04/2024-02/04/2030,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,,
11,2643,Shri Paka Venkata Satyanarayana,1,1,02/05/2025-21/06/2028,Andhra Pradesh,Bharatiya Janata Party,,